{'min_lat': 40.75419436, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.759499640000001}
{'min_lat': 40.759499640000001, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.764804920000003}
{'min_lat': 40.770110199999998, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.775415479999999}
{'min_lat': 40.717057400000002, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.722362680000003}
{'min_lat': 40.706446839999998, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.71175212}
{'min_lat': 40.748889079999998, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.75419436}
{'min_lat': 40.701141560000003, 'max_lng': -73.986094480000006, 'min_lng': -73.994100759999995, 'max_lat': 40.706446839999998}
{'min_lat': 40.73297324, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.738278520000001}
{'min_lat': 40.748889079999998, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.75419436}
{'min_lat': 40.759499640000001, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.764804920000003}
{'min_lat': 40.71175212, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.717057400000002}
{'min_lat': 40.75419436, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.759499640000001}
{'min_lat': 40.71175212, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.717057400000002}
{'min_lat': 40.764804920000003, 'max_lng': -73.986094480000006, 'min_lng': -73.994100759999995, 'max_lat': 40.770110199999998}
{'min_lat': 40.706446839999998, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.71175212}
{'min_lat': 40.764804920000003, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.770110199999998}
{'min_lat': 40.770110199999998, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.775415479999999}
{'min_lat': 40.770110199999998, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.775415479999999}
{'min_lat': 40.701141560000003, 'max_lng': -74.010113320000002, 'min_lng': -74.018119600000006, 'max_lat': 40.706446839999998}
{'min_lat': 40.701141560000003, 'max_lng': -73.930050519999995, 'min_lng': -73.938056799999998, 'max_lat': 40.706446839999998}
{'min_lat': 40.775415479999999, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.780720760000001}
{'min_lat': 40.71175212, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.717057400000002}
{'min_lat': 40.780720760000001, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.786026040000003}
{'min_lat': 40.743583800000003, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.748889079999998}
{'min_lat': 40.780720760000001, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.786026040000003}
{'min_lat': 40.775415479999999, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.780720760000001}
{'min_lat': 40.775415479999999, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.780720760000001}
{'min_lat': 40.71175212, 'max_lng': -74.010113320000002, 'min_lng': -74.018119600000006, 'max_lat': 40.717057400000002}
{'min_lat': 40.706446839999998, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.71175212}
{'min_lat': 40.722362680000003, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.727667959999998}
{'min_lat': 40.71175212, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.717057400000002}
{'min_lat': 40.701141560000003, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.706446839999998}
{'min_lat': 40.786026040000003, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.791331319999998}
{'min_lat': 40.770110199999998, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.775415479999999}
{'min_lat': 40.759499640000001, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.764804920000003}
{'min_lat': 40.775415479999999, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.780720760000001}
{'min_lat': 40.71175212, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.717057400000002}
{'min_lat': 40.71175212, 'max_lng': -73.986094480000006, 'min_lng': -73.994100759999995, 'max_lat': 40.717057400000002}
{'min_lat': 40.764804920000003, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.770110199999998}
{'min_lat': 40.775415479999999, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.780720760000001}
{'min_lat': 40.706446839999998, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.71175212}
{'min_lat': 40.786026040000003, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.791331319999998}
{'min_lat': 40.706446839999998, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.71175212}
{'min_lat': 40.717057400000002, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.722362680000003}
{'min_lat': 40.764804920000003, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.770110199999998}
{'min_lat': 40.807247160000003, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.812552439999997}
{'min_lat': 40.796636599999999, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.801941880000001}
{'min_lat': 40.759499640000001, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.764804920000003}
{'min_lat': 40.801941880000001, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.807247160000003}
{'min_lat': 40.770110199999998, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.775415479999999}
{'min_lat': 40.780720760000001, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.786026040000003}
{'min_lat': 40.791331319999998, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.796636599999999}
{'min_lat': 40.791331319999998, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.796636599999999}
{'min_lat': 40.701141560000003, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.706446839999998}
{'min_lat': 40.727667959999998, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.73297324}
{'min_lat': 40.807247160000003, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.812552439999997}
{'min_lat': 40.786026040000003, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.791331319999998}
{'min_lat': 40.75419436, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.759499640000001}
{'min_lat': 40.791331319999998, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.796636599999999}
{'min_lat': 40.717057400000002, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.722362680000003}
{'min_lat': 40.759499640000001, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.764804920000003}
{'min_lat': 40.796636599999999, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.801941880000001}
{'min_lat': 40.73297324, 'max_lng': -74.026125879999995, 'min_lng': -74.034132159999999, 'max_lat': 40.738278520000001}
{'min_lat': 40.796636599999999, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.801941880000001}
{'min_lat': 40.743583800000003, 'max_lng': -73.882012840000002, 'min_lng': -73.890019120000005, 'max_lat': 40.748889079999998}
{'min_lat': 40.770110199999998, 'max_lng': -73.986094480000006, 'min_lng': -73.994100759999995, 'max_lat': 40.775415479999999}
{'min_lat': 40.706446839999998, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.71175212}
{'min_lat': 40.701141560000003, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.706446839999998}
{'min_lat': 40.701141560000003, 'max_lng': -73.906031679999998, 'min_lng': -73.914037960000002, 'max_lat': 40.706446839999998}
{'min_lat': 40.801941880000001, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.807247160000003}
{'min_lat': 40.801941880000001, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.807247160000003}
{'min_lat': 40.722362680000003, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.727667959999998}
{'min_lat': 40.701141560000003, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.706446839999998}
{'min_lat': 40.717057400000002, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.722362680000003}
{'min_lat': 40.764804920000003, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.770110199999998}
{'min_lat': 40.743583800000003, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.748889079999998}
{'min_lat': 40.75419436, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.759499640000001}
{'min_lat': 40.796636599999999, 'max_lng': -73.930050519999995, 'min_lng': -73.938056799999998, 'max_lat': 40.801941880000001}
{'min_lat': 40.695836280000002, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.701141560000003}
{'min_lat': 40.738278520000001, 'max_lng': -74.026125879999995, 'min_lng': -74.034132159999999, 'max_lat': 40.743583800000003}
{'min_lat': 40.706446839999998, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.71175212}
{'min_lat': 40.796636599999999, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.801941880000001}
{'min_lat': 40.717057400000002, 'max_lng': -74.010113320000002, 'min_lng': -74.018119600000006, 'max_lat': 40.722362680000003}
{'min_lat': 40.743583800000003, 'max_lng': -73.890019120000005, 'min_lng': -73.898025399999995, 'max_lat': 40.748889079999998}
{'min_lat': 40.717057400000002, 'max_lng': -74.042138440000002, 'min_lng': -74.050144720000006, 'max_lat': 40.722362680000003}
{'min_lat': 40.727667959999998, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.73297324}
{'min_lat': 40.722362680000003, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.727667959999998}
{'min_lat': 40.748889079999998, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.75419436}
{'min_lat': 40.764804920000003, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.770110199999998}
{'min_lat': 40.73297324, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.738278520000001}
{'min_lat': 40.743583800000003, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.748889079999998}
{'min_lat': 40.743583800000003, 'max_lng': -73.898025399999995, 'min_lng': -73.906031679999998, 'max_lat': 40.748889079999998}
{'min_lat': 40.701141560000003, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.706446839999998}
{'min_lat': 40.807247160000003, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.812552439999997}
{'min_lat': 40.738278520000001, 'max_lng': -73.882012840000002, 'min_lng': -73.890019120000005, 'max_lat': 40.743583800000003}
{'min_lat': 40.738278520000001, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.743583800000003}
{'min_lat': 40.764804920000003, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.770110199999998}
{'min_lat': 40.770110199999998, 'max_lng': -73.906031679999998, 'min_lng': -73.914037960000002, 'max_lat': 40.775415479999999}
{'min_lat': 40.748889079999998, 'max_lng': -73.882012840000002, 'min_lng': -73.890019120000005, 'max_lat': 40.75419436}
{'min_lat': 40.807247160000003, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.812552439999997}
{'min_lat': 40.791331319999998, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.796636599999999}
{'min_lat': 40.71175212, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.717057400000002}
{'min_lat': 40.743583800000003, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.748889079999998}
{'min_lat': 40.770110199999998, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.775415479999999}
{'min_lat': 40.764804920000003, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.770110199999998}
{'min_lat': 40.75419436, 'max_lng': -73.882012840000002, 'min_lng': -73.890019120000005, 'max_lat': 40.759499640000001}
{'min_lat': 40.748889079999998, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.75419436}
{'min_lat': 40.695836280000002, 'max_lng': -73.914037960000002, 'min_lng': -73.922044240000005, 'max_lat': 40.701141560000003}
{'min_lat': 40.738278520000001, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.743583800000003}
{'min_lat': 40.706446839999998, 'max_lng': -73.986094480000006, 'min_lng': -73.994100759999995, 'max_lat': 40.71175212}
{'min_lat': 40.701141560000003, 'max_lng': -73.898025399999995, 'min_lng': -73.906031679999998, 'max_lat': 40.706446839999998}
{'min_lat': 40.73297324, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.738278520000001}
{'min_lat': 40.743583800000003, 'max_lng': -73.874006559999998, 'min_lng': -73.882012840000002, 'max_lat': 40.748889079999998}
{'min_lat': 40.748889079999998, 'max_lng': -74.026125879999995, 'min_lng': -74.034132159999999, 'max_lat': 40.75419436}
{'min_lat': 40.786026040000003, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.791331319999998}
{'min_lat': 40.748889079999998, 'max_lng': -73.874006559999998, 'min_lng': -73.882012840000002, 'max_lat': 40.75419436}
{'min_lat': 40.722362680000003, 'max_lng': -73.954069360000005, 'min_lng': -73.962075639999995, 'max_lat': 40.727667959999998}
{'min_lat': 40.706446839999998, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.71175212}
{'min_lat': 40.727667959999998, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.73297324}
{'min_lat': 40.786026040000003, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.791331319999998}
{'min_lat': 40.73297324, 'max_lng': -73.874006559999998, 'min_lng': -73.882012840000002, 'max_lat': 40.738278520000001}
{'min_lat': 40.764804920000003, 'max_lng': -73.906031679999998, 'min_lng': -73.914037960000002, 'max_lat': 40.770110199999998}
{'min_lat': 40.722362680000003, 'max_lng': -74.034132159999999, 'min_lng': -74.042138440000002, 'max_lat': 40.727667959999998}
{'min_lat': 40.759499640000001, 'max_lng': -73.874006559999998, 'min_lng': -73.882012840000002, 'max_lat': 40.764804920000003}
{'min_lat': 40.801941880000001, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.807247160000003}
{'min_lat': 40.706446839999998, 'max_lng': -73.930050519999995, 'min_lng': -73.938056799999998, 'max_lat': 40.71175212}
{'min_lat': 40.743583800000003, 'max_lng': -73.938056799999998, 'min_lng': -73.946063080000002, 'max_lat': 40.748889079999998}
{'min_lat': 40.71175212, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.717057400000002}
{'min_lat': 40.717057400000002, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.722362680000003}
{'min_lat': 40.791331319999998, 'max_lng': -73.930050519999995, 'min_lng': -73.938056799999998, 'max_lat': 40.796636599999999}
{'min_lat': 40.695836280000002, 'max_lng': -73.986094480000006, 'min_lng': -73.994100759999995, 'max_lat': 40.701141560000003}
{'min_lat': 40.759499640000001, 'max_lng': -73.906031679999998, 'min_lng': -73.914037960000002, 'max_lat': 40.764804920000003}
{'min_lat': 40.75419436, 'max_lng': -73.874006559999998, 'min_lng': -73.882012840000002, 'max_lat': 40.759499640000001}
{'min_lat': 40.706446839999998, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.71175212}
{'min_lat': 40.775415479999999, 'max_lng': -73.986094480000006, 'min_lng': -73.994100759999995, 'max_lat': 40.780720760000001}
{'min_lat': 40.738278520000001, 'max_lng': -74.034132159999999, 'min_lng': -74.042138440000002, 'max_lat': 40.743583800000003}
{'min_lat': 40.75419436, 'max_lng': -73.906031679999998, 'min_lng': -73.914037960000002, 'max_lat': 40.759499640000001}
{'min_lat': 40.695836280000002, 'max_lng': -73.930050519999995, 'min_lng': -73.938056799999998, 'max_lat': 40.701141560000003}
{'min_lat': 40.775415479999999, 'max_lng': -73.906031679999998, 'min_lng': -73.914037960000002, 'max_lat': 40.780720760000001}
{'min_lat': 40.807247160000003, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.812552439999997}
{'min_lat': 40.743583800000003, 'max_lng': -74.026125879999995, 'min_lng': -74.034132159999999, 'max_lat': 40.748889079999998}
{'min_lat': 40.738278520000001, 'max_lng': -73.874006559999998, 'min_lng': -73.882012840000002, 'max_lat': 40.743583800000003}
{'min_lat': 40.786026040000003, 'max_lng': -74.010113320000002, 'min_lng': -74.018119600000006, 'max_lat': 40.791331319999998}
{'min_lat': 40.770110199999998, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.775415479999999}
{'min_lat': 40.748889079999998, 'max_lng': -73.890019120000005, 'min_lng': -73.898025399999995, 'max_lat': 40.75419436}
{'min_lat': 40.695836280000002, 'max_lng': -73.898025399999995, 'min_lng': -73.906031679999998, 'max_lat': 40.701141560000003}
{'min_lat': 40.743583800000003, 'max_lng': -74.042138440000002, 'min_lng': -74.050144720000006, 'max_lat': 40.748889079999998}
{'min_lat': 40.743583800000003, 'max_lng': -73.922044240000005, 'min_lng': -73.930050519999995, 'max_lat': 40.748889079999998}
{'min_lat': 40.695836280000002, 'max_lng': -73.906031679999998, 'min_lng': -73.914037960000002, 'max_lat': 40.701141560000003}
{'min_lat': 40.780720760000001, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.786026040000003}
{'min_lat': 40.801941880000001, 'max_lng': -73.930050519999995, 'min_lng': -73.938056799999998, 'max_lat': 40.807247160000003}
{'min_lat': 40.701141560000003, 'max_lng': -73.882012840000002, 'min_lng': -73.890019120000005, 'max_lat': 40.706446839999998}
training 
<class 'pandas.tseries.index.DatetimeIndex'>
[2013-04-08 02:00:00, ..., 2013-04-22 02:00:00]
Length: 337, Freq: H, Timezone: None
[<Timestamp: 2013-04-22 03:00:00>, <Timestamp: 2013-04-22 04:00:00>, <Timestamp: 2013-04-22 05:00:00>, <Timestamp: 2013-04-22 06:00:00>, <Timestamp: 2013-04-22 07:00:00>, <Timestamp: 2013-04-22 08:00:00>, <Timestamp: 2013-04-22 09:00:00>, <Timestamp: 2013-04-22 10:00:00>, <Timestamp: 2013-04-22 11:00:00>, <Timestamp: 2013-04-22 12:00:00>, <Timestamp: 2013-04-22 13:00:00>, <Timestamp: 2013-04-22 14:00:00>, <Timestamp: 2013-04-22 15:00:00>, <Timestamp: 2013-04-22 16:00:00>, <Timestamp: 2013-04-22 17:00:00>, <Timestamp: 2013-04-22 18:00:00>, <Timestamp: 2013-04-22 19:00:00>, <Timestamp: 2013-04-22 20:00:00>, <Timestamp: 2013-04-22 21:00:00>, <Timestamp: 2013-04-22 22:00:00>, <Timestamp: 2013-04-22 23:00:00>, <Timestamp: 2013-04-23 00:00:00>, <Timestamp: 2013-04-23 01:00:00>, <Timestamp: 2013-04-23 02:00:00>, <Timestamp: 2013-04-23 03:00:00>]
[1366599600, 1366603200, 1366606800, 1366610400, 1366614000, 1366617600, 1366621200, 1366624800, 1366628400, 1366632000, 1366635600, 1366639200, 1366642800, 1366646400, 1366650000, 1366653600, 1366657200, 1366660800, 1366664400, 1366668000, 1366671600, 1366675200, 1366678800, 1366682400, 1366686000]
training 
<class 'pandas.tseries.index.DatetimeIndex'>
[2013-04-08 02:00:00, ..., 2013-04-22 02:00:00]
Length: 337, Freq: H, Timezone: None
[<Timestamp: 2013-04-22 03:00:00>, <Timestamp: 2013-04-22 04:00:00>, <Timestamp: 2013-04-22 05:00:00>, <Timestamp: 2013-04-22 06:00:00>, <Timestamp: 2013-04-22 07:00:00>, <Timestamp: 2013-04-22 08:00:00>, <Timestamp: 2013-04-22 09:00:00>, <Timestamp: 2013-04-22 10:00:00>, <Timestamp: 2013-04-22 11:00:00>, <Timestamp: 2013-04-22 12:00:00>, <Timestamp: 2013-04-22 13:00:00>, <Timestamp: 2013-04-22 14:00:00>, <Timestamp: 2013-04-22 15:00:00>, <Timestamp: 2013-04-22 16:00:00>, <Timestamp: 2013-04-22 17:00:00>, <Timestamp: 2013-04-22 18:00:00>, <Timestamp: 2013-04-22 19:00:00>, <Timestamp: 2013-04-22 20:00:00>, <Timestamp: 2013-04-22 21:00:00>, <Timestamp: 2013-04-22 22:00:00>, <Timestamp: 2013-04-22 23:00:00>, <Timestamp: 2013-04-23 00:00:00>, <Timestamp: 2013-04-23 01:00:00>, <Timestamp: 2013-04-23 02:00:00>, <Timestamp: 2013-04-23 03:00:00>]
[1366599600, 1366603200, 1366606800, 1366610400, 1366614000, 1366617600, 1366621200, 1366624800, 1366628400, 1366632000, 1366635600, 1366639200, 1366642800, 1366646400, 1366650000, 1366653600, 1366657200, 1366660800, 1366664400, 1366668000, 1366671600, 1366675200, 1366678800, 1366682400, 1366686000]
training 
<class 'pandas.tseries.index.DatetimeIndex'>
[2013-04-08 02:00:00, ..., 2013-04-22 02:00:00]
Length: 337, Freq: H, Timezone: None
